crane_1497208220041_n_1_0_3609.wav, ,11,50, waiting,3156,3220, leaving,3220,3668, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,13,50, waiting,3242,3306, leaving,3306,3626, didPass,1, detectionWhole,383,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,15,50, waiting,3199,3263, leaving,3263,3583, didPass,1, detectionWhole,383,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,5,150, waiting,3029,3199, leaving,3199,3796, didPass,1, detectionWhole,767,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,7,150, waiting,3114,3284, leaving,3284,3754, didPass,1, detectionWhole,639,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,9,150, waiting,3199,3370, leaving,3370,3711, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,11,150, waiting,3156,3327, leaving,3327,3668, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,13,150, waiting,3242,3412, leaving,3412,3626, didPass,1, detectionWhole,383,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,15,150, waiting,3199,3370, leaving,3370,3583, didPass,1, detectionWhole,383,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,5,250, waiting,3029,3284, leaving,3284,3796, didPass,1, detectionWhole,767,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,7,250, waiting,3114,3370, leaving,3370,3754, didPass,1, detectionWhole,639,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,9,250, waiting,3199,3455, leaving,3455,3711, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,11,250, waiting,3156,3412, leaving,3412,3668, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,13,250, waiting,3242,3498, leaving,3498,3626, didPass,1, detectionWhole,383,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,15,250, waiting,3199,3455, leaving,3455,3583, didPass,1, detectionWhole,383,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,5,350, waiting,3029,3391, leaving,3391,3796, didPass,1, detectionWhole,767,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,7,350, waiting,3114,3476, leaving,3476,3754, didPass,1, detectionWhole,639,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,9,350, waiting,3199,3562, leaving,3562,3711, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,11,350, waiting,3156,3519, leaving,3519,3668, didPass,1, detectionWhole,511,,,,,,,,,,,,,,,,
